"Ranking","Artist_Name","Spotify_Artist_ID","Spotify_Popularity","Genre","Billboard_Popularity","track_id","track_name","track_release","decade","Danceability","Energy","Valence","Endurance_Index"
48,"Run-DMC","3CQIn7N5CuRDP8wEI7FiDA",65,"hip hop",0,"41onDks2UPbyjer5fMeUWf","Christmas In Hollis","1988-09-16",1980,0.819,0.702,0.573,32.5
47,"Patti Smith","0vYkHhJ48Bs3jWcvZXvOrP",56,"rock",0,"0lIoY4ZQsdn5QzhraM9o9u","Because the Night","1978",1970,0.466,0.763,0.473,28
46,"Janis Joplin","4NgfOZCL9Ml67xzM0xzIvC",61,"rock",0,"1IqFh00G2kvvMm8pRMpehA","Me and Bobby McGee","1971-01-11",1970,0.43,0.463,0.66,30.5
45,"The Byrds","1PCZpxHJz7WAMF8EEq8bfc",54,"blues",0,"5qBqBdfTEIWJwAS0Jm2F5R","Turn! Turn! Turn! (To Everything There Is a Season)","1965-12-06",1960,0.451,0.818,0.755,27
44,"Public Enemy","6Mo9PoU6svvhgEum7wh2Nd",54,"hip hop",0,"5YpZh8wfS4moRBk0ijNcXr","Harder Than You Think","2007-08-07",2000,0.484,0.852,0.766,27
43,"Sly and the Family Stone","5m8H6zSadhu1j9Yi04VLqD",57,"soul",0,"2BydLQAh7CUIFvSEqAMc4x","If You Want Me to Stay","1973-06-30",1970,0.843,0.48,0.762,28.5
42,"Van Morrison","44NX2ffIYHr6D4n7RaZF7A",70,"folk",1,"3yrSvpt2l1xhsV9Em88Pul","Brown Eyed Girl","1967-09",1960,0.491,0.583,0.908,35.5
41,"The Doors","22WZ7M8sxp5THdruNY3gXt",71,"rock",0,"1Jmqubf9kGkWeYQXQKImL5","People Are Strange","1967-09-25",1960,0.699,0.467,0.764,35.5
40,"Simon and Garfunkel","70cRZdQywnSFp9pnc2WTCE",70,"folk",0,"5y788ya4NvwhBznoDIcXwK","The Sound of Silence - Acoustic Version","1964-10-19",1960,0.525,0.216,0.328,35
39,"David Bowie","0oSGxfWSnnOXhD2fKuz2Gy",76,"rock",4,"4okLKeB83VLZFGGtrMQxpd","Under Pressure","2002",2000,0.678,0.643,0.534,40
38,"John Lennon","4x1nvY2FN8jxqAFA0DA02H",75,"rock",0,"27RYrbL6S02LNVhDWVl38b","Happy Xmas (War Is Over) - Remastered 2010","2010-10-05",2010,0.321,0.64,0.414,37.5
37,"Roy Orbison","0JDkhL4rjiPNEp92jAgJnS",66,"folk",0,"48i055G1OT5KxGGftwFxWy","Oh, Pretty Woman","1962",1960,0.619,0.603,0.958,33
36,"Madonna","6tbjWDEIzxoDsBA1FuhfPW",79,"pop",2,"6WzRpISELf3YglGAh7TXcG","Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series","2023-06-02",2020,0.855,0.678,0.852,40.5
35,"Michael Jackson","3fMbdgg4jU18AjLCKBhRSm",81,"soul",82,"7J1uxwnxfQLu4APicE5Rnj","Billie Jean","1982-11-30",1980,0.932,0.457,0.884,81.5
34,"Neil Young","6v8FB84lnmJs434UJf2Mrm",59,"folk",2,"73uAQw29X3mrO1taWZaOvm","Journey Through the Past","2014-12-15",2010,0.523,0.305,0.435,30.5
33,"The Everly Brothers","4ACplpEqD6JIVgKrafauzs",58,"folk",0,"2yTzXsYOrevaVIzQQgB3YL","All I Have To Do Is Dream","1957-01-01",1950,0.59,0.405,0.555,29
32,"Smokey Robinson and the Miracles","6TKOZZDd5uV5KnyC5G4MUt",56,"soul",0,"6QyQmdvQ1ywNccYa0pwLNQ","The Tracks Of My Tears","1965-11-01",1960,0.502,0.333,0.729,28
31,"Johnny Cash","6kACVPfCOnqzgfEF5ryl0x",73,"country",0,"28cnXtME493VX9NOw9cIUh","Hurt","2002-01-01",2000,0.534,0.392,0.163,36.5
30,"Nirvana","6olE6TJLqED3rqDCT0FyPh",80,"rock",38,"5ghIJDpPoe3CfHMGu71E6T","Smells Like Teen Spirit","1991-09-26",1990,0.502,0.912,0.72,59
29,"The Who","67ea9eGLXYMsO2eYQRui3w",66,"rock",1,"3qiyyUfYe7CRYLucrPmulD","Baba O'Riley","1971-08-14",1970,0.489,0.724,0.15,33.5
